code|description_content_ENG|description_content_IND|multiLingualCode
AB|American Breakfast|Sarapan Ala Amerika|AB
AI|All Inclusive|Semua Termasuk|AI
AS|All Inclusive Special|Semua Termasuk Spesial|AS
BB|Bed and Breakfast|Kamar dan Sarapan|BB
BH|1 Bed and Breakfast + 1 Half Board|1 Kamar dan Sarapan + 1 Half Board|BH
CB|Continental Breakfast|Sarapan Kontinental|CB
DB|Buffet Breakfast|Sarapan Prasmanan|BF
FB|Full Board|Full Board|FB
FH|1 Half Board + 1 Full Board|1 Half Board + 1 Full Board|FH
GB|English Breakfast|Sarapan Ala Inggris|EB
HB|Half Board|Half Board|HB
IB|Irish Breakfast|Sarapan ala Irlandia|IB
MB|Half Board With Beverages Included|Half Board Termasuk Minum|HV
PB|Full Board Beverages Included|Full Board Termasuk Minum|FV
RO|Room Only|Kamar Saja|RO
SB|Scottish Breakfast|Sarapan Ala Skotlandia|SB
SC|Self Catering|Catering Sendiri|SC