facilityCd|description__ENG|description__ID
61001|Single bed 90-130 width|Ranjang Single selebar 90-130
62001|Single bed 90-130 width|Ranjang Single selebar 90-130
85001|Gay-friendly|Bersahabat pada kaum gay
100010|1|1
20010|Hotel|Hotel
30010|American Express|American Express
40010|City centre|Pusat kota
60010|Bathroom|Kamar mandi
70010|Air conditioning in public areas|AC di area publik
10100|Suites|Suite
60100|Internet access|Akses internet
70100|Supermarket|Supermarket
80100|Set menu dinner|Makan malam menu set
70011|Fireplace|Perapian
80011|Breakfast and dinner|Sarapan dan makan malam
10110|Apartments|Apartemen
30110|EuroCard|EuroCard
60110|Kitchenette|Dapur kecil
70110|Shop|Toko
60111|Kitchen utensils, plates & cups|Peralatan dapur, piring, & cangkir
80114|Snacks|Makanan ringan
10115|Studios|Studio
30115|Euro 6000|Euro 6000
60115|Kitchen|Dapur
70012|Smoke detector|Detektor asap
80012|Breakfast and lunch|Sarapan dan makan siang
10120|Bungalows|Bungalo
60120|Minibar|Minibar
74120|Hairdressing salon|Salon pemangkas rambut
10123|Villas|Vila
10124|Disability-friendly rooms|Kamar ramah penyandang cacat
40125|Entertainment Area|Area Hiburan
70125|Garden|Taman
10126|Triple rooms|Kamar triple
10127|Quadruple rooms|Kamar quadruple
10128|Executive rooms|Kamar eksekutif
10129|Superior rooms|Kamar superior
40130|Golf course|Lapangan golf
60130|Fridge|Lemari es
71130|Bar|Bar
80130|Special dietary options|Opsi makanan khusus
85130|Flight information required|Informasi penerbangan wajib
10131|Family rooms|Kamar keluarga
10132|Twin rooms|Twin room
60135|Mini fridge|Lemari es mini
70135|Terrace|Teras
60137|Cooker|Penanak nasi
60140|Microwave|Microwave
73140|Pub|Pub
60143|Tea and coffee making facilities |Fasilitas untuk membuat teh dan kopi
40145|Bus/Train station|Terminal bus/stasiun kereta
60145|Washing machine|Mesin cuci
60147|Ironing set|Perlengkapan menyetrika
61150|Double bed 131-150 width|Ranjang Double selebar 131-150
62150|Double bed 131-150 width|Ranjang Double selebar 131-150
73150|Nightclub|Klub malam
61155|King-size bed 150-183 width|Ranjang King-size selebar 150-183
62155|King-size bed 150-183 width|Ranjang King-size selebar 150-183
20160|Hostel|Hostel
40160|Ski slopes|Lereng ski
60160|Carpeted floors|Lantai berkarpet
73160|Theatre / auditorium|Bioskop / auditorium
80160|Early bird breakfast|Sarapan dini
90160|Banana boating|Perahu pisang
60170|Centrally regulated air conditioning|AC yang diatur secara terpusat
72170|Conference room|Ruang konferensi
80170|Late riser breakfast|Sarapan untuk tamu yang bangun terlambat
90170|Waterskiing|Ski air
60180|Individually adjustable air conditioning|AC yang dapat disesuaikan sendiri-sendiri
73180|Casino|Kasino
80180|Hot breakfast|Sarapan panas
90180|Jet ski|Jet ski
60190|Central heating|Pemanas sentral
73190|Game room|Ruang permainan
90190|Motor board ride|Wahana papan motor
73193|TV lounge|Lounge TV
60195|Individually adjustable heating |Pemanas yang dapat disesuaikan sendiri-sendiri
85002|Naturist|Nudis
10020|Year of construction|Tahun konstruksi
100020|2|2
30020|EC|EC
40020|Nearest Bus / Metro Stop|Halte Bus / Metro Terdekat
60020|Shower|Shower
60200|Safe|Brankas
71200|Restaurant|Restoran
80200|Breakfast served to the table|Sarapan yang disajikan di meja
90200|Diving|Menyelam
85203|Only Adults|Khusus Dewasa
70210|Key Collection|Pengambilan Kunci
80210|Picnic|Piknik
90210|Windsurfing|Selancar angin
20220|Lodge|Pondok
60220|Living room|Ruang tamu
71220|Non-smoking area|Area bebas rokok
80220|Brunch|Makan agak siang
90220|Sailing|Berlayar
71225|Smoking area|Area merokok
60230|Balcony|Balkon
71230|Highchairs|Kursi tinggi
80230|Gluten-free meals |Makanan bebas gluten
90230|Catamaran sailing|Berlayar katamaran
60240|Terrace|Teras
70240|Mobile phone coverage|Jangkauan ponsel
80240|No alcohol is served|Tidak ada minuman beralkohol yang disajikan
90240|Canoeing|Berkano
20025|Apartment hotel|Hotel apartemen
20250|Campsite|Perkemahan
60250|Wheelchair-accessible|Dapat diakses dengan kursi roda
70250|Wired Internet|Internet berkabel
80250|Vegetarian meal|Makanan vegetarian
90250|Pedal boating|Berperahu kayu
80251|Half board without drinks|Paket half-board (paket setengah) tanpa minuman
80252|Half board with non-alcoholic drinks|Paket half-board (paket setengah) dengan minuman non-alkohol
80253|Half board with drinks|Paket half-board (paket setengah) dengan minuman
80254|Full board without drinks|Paket full-board (paket lengkap) tanpa minuman
80255|Full board with non-alcoholic drinks|Paket full-board (paket lengkap) dengan minuman non-alkohol
80256|Full board with drinks|Paket full-board (paket lengkap) dengan minuman
80257|All inclusive without drinks|Paket lengkap tanpa minuman
80258|All inclusive with non-alcoholic drinks|Paket lengkap dengan minuman non-alkohol
80259|All inclusive with alcoholic drinks own brands|Paket lengkap dengan minuman beralkohol merek sendiri
20260|Botel|Botel
60260|Disability-friendly bathroom|Kamar mandi ramah penyandang cacat
70260|Check-in hour|Jam check-in
80260|All inclusive with alcoholic drinks top brands|Paket lengkap dengan minuman beralkohol merek ternama
90260|Table tennis|Tenis meja
60261|Wi-fi|Wi-fi
80261|Full board|Paket Full Board
60262|Wake-up service|Layanan bangun tidur
80262|Half Board|Paket Half Board
60263|Pillow menu|Menu bantal
80263|All inclusive|Paket All in
60264|Cot on demand|Tempat tidur bayi ATAS PERMINTAAN
80264|Breakfast a la carte|Sarapan a la carte
60265|Bluetooth speaker|Pengeras suara bluetooth
80265|Gala dinner|Makan malam gala
60266|Turndown service|Layanan pembersihan kamar
60268|220V power supply|Catu daya 220 V
60269|Hydro-massage bath|Pemandian pijat air
20270|Cruise|Pesiar
60270|CD player |Pemutar CD
70270|Room service|Layanan kamar
90270|Squash|Squash
60271|DVD player|Pemutar DVD
60272|Pay movies|Film berbayar
60273|Alarm clock|Jam alarm
60274|Video games console|Konsol video game
60275|Extra beds on demand|Tempat tidur tambahan ATAS PERMINTAAN
60276|Toiletries|Perlengkapan mandi
60277|Background music|Musik latar
60279|Desk|Meja
60280|Bathrobes|Jubah mandi
70280|Laundry service|Layanan laundry
90280|Aerobics|Aerobik
60281|Slippers|Sandal
60282|Make-up mirror|Cermin rias
60283|Trouser press|Setrika khusus celana panjang
61284|Sofa bed|Tempat tidur sofa
62284|Sofa bed|Tempat tidur sofa
60285|Welcome pack|Paket selamat datang
70285|Launderette|Tempat laundry
60286|Fan|Kipas angin
60287|Smoking rooms|Kamar merokok
60288|Satellite TV |TV satelit
60289|Cable TV|TV kabel
60290|Dishwasher|Mesin pencuci piring
70290|Medical service|Layanan medis
60292|Plug adaptor|Adaptor steker
60293|Towel menu|Menu handuk
61294|Queen-size bed 150-154 width|Ranjang Queen-size selebar 150-154
62294|Queen-size bed 150-154 width|Ranjang Queen-size selebar 150-154
60295|Room size (sqm)|Ukuran Kamar
70295|Wheelchair-accessible|Dapat diakses dengan kursi roda
90295|Fitness|Kebugaran
60296|Fireplace|Perapian
60297|Smoke detector|Detektor asap
60298|Number of bedrooms|Jumlah kamar tidur
60299|Shared bathroom|Kamar mandi berbagi
85003|No hen/stag or any other parties allowed|Pesta melepas masa lajang atau pesta lainnya tidak diizinkan
10030|Year of most recent renovation|Tahun renovasi terkini
100030|3|3
20030|Apartment|Apartemen
30030|JCB|JCB
60030|Bathtub|Bathtub
70030|24-hour reception|resepsionis 24 jam
80030|Breakfast buffet|Prasmanan sarapan
20300|Vacation condo or apartment|Kondo atau apartemen untuk liburan
60300|Housekeeping|tata graha
70300|Bicycle storage|Penyimpanan sepeda
90300|Archery|Panahan
60301|Oxygen enrichment|Penambahan oksigen
60302|Children share the bed with parents|Anak-anak berbagi tempat tidur dengan orang tua
60303|Soundproof room|Ruang kedap suara
60304|Telephone in the bathroom|Telepon di kamar mandi
60305|Hot tub|Hot tub
60306|Outdoor swimming pool|Kolam renang luar ruangan
60307|Sauna|Sauna
60308|Fitness room|Ruang kebugaran
60309|Billiards|Biliar
20310|Vacation home or villa|Rumah atau vila untuk liburan
60310|Turkish steam bath|Pemandian Turki
70310|Bicycle hire service|Layanan penyewaan sepeda
90310|Horse riding|Berkuda
60311|Table tennis|Tenis meja
60312|Solarium|Solarium
60313|Indoor swimming pool|Kolam renang dalam ruangan
60314|Garden|Taman
60315|Game room|Ruang permainan
60316|Darts|Dart
60317|Children playground|Area bermain anak-anak
60318|Toaster|Pemanggang roti
60319|Oven|Oven
20320|Vacation townhouse|Townhouse untuk liburan
60320|Dining Area|Ruang makan
70320|Car park|Parkir mobil
90320|Cycling / mountain biking|Bersepeda / bersepeda gunung
60321|Clothes Dryer|Pengering pakaian
60322|BBQ Facilities|Fasilitas BBQ
60323|Ski to Door Acces|Dapat diakses langsung dari tempat ski
60324|Grill/BBQ|Pemanggang/BBQ
60325|Ski Storage|Penyimpanan alat ski
90325|Handball|Bola tangan
60326|Private Pool|Kolam renang pribadi
60327|Towels and bed linen at surcharge|Handuk dan separai dengan biaya tambahan
60328|Private Beach Area|Area pantai pribadi
60329|Library|Perpustakaan
20330|Vacation resort|Resor untuk liburan
60330|Electric Kettle|Ketel listrik
70330|Garage|Garasi
90330|Basketball|Bola basket
60331|Bikes Available|Tersedia sepeda
90335|Volleyball|Bola voli
20340|Riad|Riad
73340|Kids’ club|Klub anak-anak
90340|Beach volleyball|Bola voli pantai
80035|Continental breakfast|Sarapan kontinental
20350|Motel|Motel
73350|Children playground|Area bermain anak-anak
90350|Billiards|Biliar
20360|Bed and breakfast|Bed and breakfast
73360|Indoor freshwater pool|Kolam renang air tawar dalam ruangan
90360|Bocce|Bocce
73361|Indoor saltwater pool|Kolam renang air asin dalam ruangan
73362|Indoor heated pool|Kolam renang berpemanas dalam ruangan
73363|Outdoor freshwater pool|Kolam renang air tawar luar ruangan
73364|Outdoor saltwater pool|Kolam renang air asin luar ruangan
73365|Outdoor heated pool|Kolam renang berpemanas luar ruangan
20370|Boutique|Butik
90370|Bowling alley|Gelanggang boling
20380|Luxurious historical hotel|Hotel historis mewah
90380|Mini golf|Golf mini
73385|Children’s swimming area|Area berenang anak-anak
20390|Pousada|Pousada
70390|Check-out hour|Jam check-out
90390|Golf|Golf
73395|Sun loungers|Kursi berjemur
10040|Annexe (s)|Bangunan tambahan
100040|4|4
30040|Diners Club|Diners Club
40040|Beach|Pantai
60040|Hairdryer|Pengering rambut
70040|Hotel safe|Brankas hotel
80040|Breakfast|Sarapan
20400|Residence|Residence
73400|Parasols|Payung
73401|Entertainment programme for adults|Program hiburan untuk orang dewasa
73405|Entertainment programme for children|Program hiburan untuk anak-anak
20410|Rural hotel|Hotel pedesaan
74410|Hot tub|Hot tub
90410|Surfing|Selancar
74420|Sauna|Sauna
74425|Solarium |Solarium
70430|Sun terrace|Teras berjemur
90430|Tennis|Tenis
74440|Steam bath|Mandi uap
90440|Paddle tennis|Tenis padel
74450|Massage|Pijat
90450|Badminton|Badminton
74460|Spa treatments|Perawatan spa
90460|Darts|Dart
70470|Gym|Gimnasium
90470|Putting green|Lapangan golf
70475|Day-care centre|Pusat penitipan anak
90480|Snowboarding|Snowboarding
70485|Babysitting service|Layanan pengasuhan bayi
70490|Car hire|Penyewaan mobil
90490|Skiing|Ski
70495|Transfer service|Layanan Transfer
10050|Number of floors (main building)|Jumlah lantai (bangunan utama)
100050|5|5
20050|Guest house|Guest house
30050|MasterCard|MasterCard
60050|Direct dial telephone|Telepon sambungan langsung
70050|Currency exchange facilities|Fasilitas penukaran mata uang
80050|Buffet lunch|Makan siang prasmanan
70500|Secure parking|Layanan antar-jemput
90500|Tobogganing|Naik kereta peluncur
70505|Multilingual staff|Staf multibahasa
90510|Ski pass|Tiket ski
70515|Newspapers|Koran
70520|24-hour security|24-hour security
90520|Golf practice facility|Fasilitas latihan golf
70525|Bellboy service|Layanan porter
90530|Safari|Safari
70535|Small pets allowed (under 5 kg)|Hewan peliharaan kecil dibolehkan (kurang dari 5 kg)
70540|Large pets allowed (over 5 kg)|Hewan peliharaan besar dibolehkan (lebih dari 5 kg)
70545|Golf desk|Meja layanan golf
60055|TV|TV
70550|Wi-fi|Wi-fi
85551|Charges for late arrival|Denda untuk kedatangan yang terlambat
85552|Early Check-in|Check-in Lebih Awal
85554|Early departure|Keberangkatan lebih awal
71555|Poolside snack bar|Bar makanan ringan tepi kolam renang
70556|Local and international calls|Panggilan lokal dan internasional
85557|Identification card at arrival|Kartu identifikasi saat tiba
85558|Marriage certificate required for a couple to share room|Sertifikat pernikahan diperlukan untuk pasangan yang menginap sekamar
70559|Luggage room|Ruang koper
10056|Connecting rooms|Kamar terhubung
70560|Valet parking|Parkir valet
71560|Banquet hall|Aula andrawina
85561|Deposit on arrival|Deposit saat tiba
70562|Airport Shuttle|Antar-jemput bandara
85562|Non-smoking establishment|Dilarang merokok di tempat ini
85563|Children get free accommodation, meals payable on the spot|Akomodasi gratis untuk anak-anak dan membayar makanan
70564|Late Check-out|Check-out Terlambat
85564|Minimum check-in age|
70565|Toaster|Pemanggang roti
71565|Show cooking|Pertunjukan memasak
70566|Oven|Oven
70567|Dining area|Ruang makan
70568|Clothes dryer|Pengering pakaian
70569|BBQ facilities|Fasilitas BBQ
70570|Ski to door acces|Dapat diakses langsung dari tempat ski
71570|Swim-up bar|Bar dalam kolam renang
70571|Grill/BBQ|Pemanggang/BBQ
70572|Ski storage|Penyimpanan alat ski
70573|Private pool|Kolam renang pribadi
70574|Private beach area|Area pantai pribadi
70575|Library|Perpustakaan
71575|Air conditioning in Restaurant|AC di Restoran
72575|Meeting room|Ruang rapat
70576|Electric kettle|Ketel listrik
70577|Bikes available|Tersedia sepeda
70578|Towels and bed linen at surcharge|Handuk dan separai dengan biaya tambahan
70579|Hotel’s own bike shop/workshop|
70580|Partner’s bike shop/workshop|
71580|Breakfast room|Ruang sarapan
72580|Projector|Proyektor
72590|Conference hostess|Penerima tamu konferensi
72595|Secretarial service|Layanan sekretaris
10060|Number of floors (annexe)|Jumlah lantai (bangunan tambahan)
20060|Rural house|Rumah pedesaan
30060|Visa|Visa
70060|Cloakroom|Ruang ganti
80060|À la carte lunch|Makan siang a la carte
72600|Photocopier|Mesin foto kopi
72605|Business centre|Pusat bisnis
72610|Fax|Faks
73610|WaterSlides|Seluncur Air
74615|Beauty salon|Salon kecantikan
72620|Printer|Printer
74620|Spa centre|Pusat spa
72630|Audio-visual equipment rental|penyewaan perlengkapan audiovisual
74630|Turkish bath (hamam)|Pemandian Turki (hamam)
75635|Green Globe 21 |Green Globe 21
75640|Earth Check|Earth Check
75645|Travelife|Travelife
75650|Green Star|Green Star
75655|Rainforest Alliance|Rainforest Alliance
75660|Biosphere Certification - Responsible Tourism Institute (ITR)|Sertifikasi Lingkungan - Responsible Tourism Institute (ITR)
76670|EMAS|EMAS
76675|EU Ecolabel|EU Ecolabel
76695|Austrian Ecolabel (Umweltzeichen für Tourismusbetriebe) |Austrian Ecolabel (Umweltzeichen für Tourismusbetriebe)
10070|Total number of rooms|Tumlah kamar total
40070|Harbour|Pelabuhan
70070|Lift access|Akses lift
80070|Set menu lunch|Makan siang menu set
76740|ECO Certification Malta |Sertifikasi ECO Malta
76741|TourCert|TourCert
77755|CST – Costa Rica |CST – Kosta Rika
10080|Single rooms|Kamar single
30080|Maestro|Maestro
40080|Airport|Bandara
60080|Radio|Radio
71080|Café|Kafé
80080|Buffet dinner|Makan malam prasmanan
78810|EcoCertification (EA) – Australia|EcoCertification (EA) – Australia
79830|FTTSA – South Africa |FTTSA – Afrika Selatan
75840|ISO  9001 certified hotels and restaurants|Hotel dan restoran yang bersertifikat ISO  9001
75845|ISO  14001 certified hotels and restaurants|Hotel dan restoran yang bersertifikat ISO  14001
10090|Double rooms|Kamar double
30090|Visa Electrón|Visa Electrón
60090|Hi-fi|Hi-fi
70090|Newspaper stand|Kios koran
80090|À la carte dinner|Makan malam a la carte
90090|Aqua fit|Aqua fit
10095|Junior suites|Suite junior
61992|Rollaways on demand|Tempat tidur geser ATAS PERMINTAAN
62992|Rollaways on demand|Tempat tidur geser ATAS PERMINTAAN
61993|Bunk beds|Tempat tidur tingkat
62993|Bunk beds|Tempat tidur tingkat
60997|NO Disability-friendly bathroom|
70999|NO Wheelchair-accessible|