code|simpleCode|accommodationType|group|description__content_ENG|description__content_IND
1EST|1|HOTEL|GRUPO1|1 STAR|BINTANG 1
1LL|1|APART|GRUPO7|1 KEY|1 KUNCI
2|2|HOTEL||2 STARS|
2EST|2|HOTEL|GRUPO2|2 STARS|BINTANG 2
2LL|2|APART|GRUPO7|2 KEYS|2 KUNCI
3|3|HOTEL||3 STARS|
3EST|3|HOTEL|GRUPO3|3 STARS|BINTANG 3
3LL|3|APART|GRUPO7|3 KEYS|3 KUNCI
4EST|4|HOTEL|GRUPO4|4 STARS|BINTANG 4
4LL|4|APART|GRUPO7|4 KEYS|4 KUNCI
4LUX|4|HOTEL|GRUPO4|4 STARS LUXURY|BINTANG 4 MEWAH
5EST|5|HOTEL|GRUPO5|5 STARS|BINTANG 5?
5LL|5|APART|GRUPO7|5 KEYS|5 KUNCI
5LUX|5|HOTEL|GRUPO5|5 STARS LUXURY|BINTANG 5 MEWAH
AG|4|RURAL|GRUPO4|RURAL HOUSE|RUMAH PEDESAAN
ALBER|1|HOSTEL|GRUPO6|HOSTEL|LOSMEN
APTH|1|APTHOTEL|GRUPO7|APARTHOTEL 1*|APARTHOTEL 1*
APTH2|2|APTHOTEL|GRUPO7|APARTHOTEL 2*|APARTHOTEL 2*
APTH3|3|APTHOTEL|GRUPO7|APARTHOTEL 3*|APARTHOTEL 3*
APTH4|4|APTHOTEL|GRUPO7|APARTHOTEL 4*|APARTHOTEL 4*
APTH5|5|APTHOTEL|GRUPO7|APARTHOTEL 5*|APARTHOTEL 5*
AT1|1|APART|GRUPO7|APARTMENT 1ST CATEGORY|APARTEMEN KATEGORI 1
AT2|2|APART|GRUPO7|APARTMENT 2ND CATEGORY|APARTEMEN KATEGORI 2
AT3|3|APART|GRUPO7|APARTMENT 3RD CATEGORY|APARTEMEN KATEGORI 3
BB|3|HOTEL|GRUPO6|BED AND BREAKFAST|KAMAR DAN SARAPAN
BB3|3|HOTEL|GRUPO6|BED AND BREAKFAST 3*|KAMAR DAN SARAPAN 3*
BB4|4|HOTEL|GRUPO6|BED AND BREAKFAST 4*|KAMAR DAN SARAPAN 4*
BB5|5|HOTEL|GRUPO6|BED AND BREAKFAST 5*|KAMAR DAN SARAPAN 5*
BOU|4|HOTEL|GRUPO4|BOUTIQUE|BUTIK HOTEL
CAMP1|1|CAMPING|GRUPO7|1ST CAMPING|KEMAH PERTAMA
CAMP2|2|CAMPING|GRUPO7|2ND CAMPING|KEMAH KEDUA
CHUES|2|HOSTEL|GRUPO6|GUEST HOUSE|RUMAH SINGGAH
H1_5|1|HOTEL|GRUPO1|1 STAR AND A HALF|BINTANG 1?
H2S|2|HOTEL|GRUPO2|SUPERIOR 2*|SUPERIOR 2*
H2_5|2|HOTEL|GRUPO2|2 STARS AND A HALF|BINTANG 2?
H3S|3|HOTEL|GRUPO3|SUPERIOR 3*|SUPERIOR 3*
H3_5|3|HOTEL|GRUPO3|3 STARS AND A HALF|BINTANG 3?
H4_5|4|HOTEL|GRUPO4|4 STARS AND A HALF|BINTANG 4?
H5_5|5|HOTEL|GRUPO5|5 STARS AND A HALF|BINTANG 5?
HIST|5|HOTEL |GRUPO4|HISTORICAL HOTEL LUXURIOUS|HOTEL MEWAH BERSEJARAH
HR|3|RURAL|GRUPO3|RURAL HOTEL|HOTEL PEDESAAN
HR2|2|RURAL|GRUPO2|RURAL HOTEL 2*|HOTEL PEDESAAN 2*
HR3|3|RURAL|GRUPO3|RURAL HOTEL 3*|HOTEL PEDESAAN 3*
HR4|4|RURAL|GRUPO4|RURAL HOTEL 4*|HOTEL PEDESAAN 4*
HR5|5|RURAL|GRUPO5|RURAL HOTEL 5*|HOTEL PEDESAAN 5*
HRS|4|RURAL|GRUPO4|RURAL HOTEL SUPERIOR CATEGORY|HOTEL PEDESAAN KATEGORI SUPERIOR
HS|1|HOSTEL|GRUPO6|HOSTEL 1*|LOSMEN
HS2|2|HOSTEL|GRUPO6|HOSTEL 2*|LOSMEN 2*
HS3|3|HOSTEL|GRUPO6|HOSTEL 3*|LOSMEN 3*
HS4|4|HOSTEL|GRUPO6|HOSTEL 4*|RUMAH PEDESAAN 4*
HS5|5|HOSTEL|GRUPO6|HOSTEL 5*|LOSMEN 5*
HSR1|1|RURAL|GRUPO6|RURAL HOSTEL 1*|HOTEL PEDESAAN 1*
HSR2|2|RURAL|GRUPO6|RURAL HOSTEL 2*|HOTEL PEDESAAN 2*
LODGE|2|HOSTEL|GRUPO4|LODGE|PEMONDOKAN
MINI|2|HOTEL|GRUPO2|MINI HOTEL|HOTEL KECIL
PENDI|0|PENDING||PENDING CATEGORY|KATEGORI TERTUNDA
PENSI|1|HOSTEL|GRUPO6|BOARDING HOUSE|ASRAMA
POUSA|4|HOSTEL|GRUPO4|POUSADA|POUSADA
RESID|3|HOSTEL|GRUPO2|RESIDENCE|RUMAH TINGGAL
RSORT|4|RESORT||RESORT|RESORT
SPC|3|PENDING||WITHOUT OFFICIAL CATEGORY|TANPA OFICIAL KATEGORI
STD|2|APART|GRUPO2|STANDARD|STANDARD
SUP|4|HOTEL|GRUPO4|SUPERIOR 4*|SUPERIOR 4*
VILLA|4|HOMES|GRUPO4|VILLA|VILLA
VTV|4|HOMES|GRUPO7|VACATIONALS TURISTICS HOUSES|RUMAH LIBURAN TURIS