code|description__content
ORIG|ORIGINAL HOTELS
ORION|ORION GROUP
ORLY|ORLY CLUB
OROPE|
OROVA|OROVACANZE
ORVAS|ORVAS
OST|OSTAR Grupo Hotelero
OSTI|OSTI HOTELS
OTANI|NEW OTANI GROUP
OTHBR|HOTEIS OTHON
OUNEL|OU NELAG
OUTRI|OUTRIGGER
OVOLO|
OXFOR|OXFORD HOTELS AND INNS
OZKAY|OZKAYMAK HOTELS
OZTAN|OZTANIK OTELCILIK
PABE|PALM BEACH GROUP
PABIS|PABISA HOTELES
PACIF|PACIFIC RIM HOTELS
PADMA|PADMA HOTELS & RESORTS
PALAC|PALACE RESORTS
PALAF|PALAFOX HOTELES
PALGR|KATA PALM AND RAWAI PALM GROUP
PALIA|PALIA
PALM|HOTELS PALM
PALMA|DE PALMA GROUP OF HOTELS
PALMG|
PANA|PANALI
PANPC|PAN PACIFIC HOTELS & RESORTS
PANV|PANVIMAN GROUP
PAPHO|PAPILLON HOTELS
PAR|PARADOR
PARAD|PARADORES DE TURISMO
PARAG|The Paradiso Group
PARAR|Paradise Hotels & Resorts
PARIN|PARADISE GROUP
PARKH|PARK HOTEL
PARNA|PARNASSUS RESORTS
PASER|LA PASERA
PATRA|PATRA JASA
PAV|PAVILION RESORTS
PEAB|PEABODY HOTEL GROUP
PEACH|PEACH GROUP
PEARL|Pearl Hotels
PEDRO|DOM PEDRO HOTELS
PEEL|PEEL
PEERM|PEERMONT HOTELS CASINOS RESORTS
PEGAS|PEGASOS HOTELS
PENIN|THE PENINSULA
PENTA|PENTA
PERAL|GRUP PERALADA
PERTI|PERTIWI HOTELS
PESTA|PESTANA
PGHD|Panorama Group of Hotels Dubai
PGRAN|Ponta Grande
PHG|PAVILION HOTEL GROUP
PHI|PHI PHI HOTEL GROUP
PHM|Premier Hospitality Asia
PHMHO|PHM Hospitality
PHOTE|P HOTELS
PHR|PARKROYAL HOTELS & RESORTS
PHUK|PHUKET SAWASDEE
PICKA|PICK ALBATROS HOTELS MANAGEMENT
PIERR|PIERRE ET VACANCES GROUP
PIN|PINNACLE GROUP
PINTA|LA PINTA
PIRAM|PIRAMIDE
PITAN|PITANGASOL
PLAAN|HOTELES PLAZA ANDORRA
PLAC|PLACE
PLAPA|
PLASO|PLAYA DEL SOL MEXICO
PLATA|Platano Hotels
PLATI|PLATINUM HOTELS & RESORT
PLAVA|PLAVA LAGUNA
PLAYA|GRUPO PLAYASOL
PLAZA|PLAZA HOTELS
PLEAF|PALMLEAF HOTEIS
PLYHT|PLAYA SENATOR
PLYNG|PAILYN GROUP
PMG|PITA MAHA GROUP
POLLE|HOTELERA POLLENSINA
PONTI|PONTINS
PORCE|PORCEL
PORTA|PORT AVENTURA HOTELS
PORTL|PORTLAND HOTELS MANAGEMENT LIMITED
PORTO|PORTO BAY HOTELS & RESORTS
PORTS|Portos Santo Hotels
POSAD|POSADAS DE ESPAÑA
POSEI|HOTELES POSEIDON
POUBR|POUSADAS COSTA DO SAUIPE
POUSA|POUSADAS DE COMPOSTELA
PPLAZ|
PRAIA|
PRAIN|
PRECI|PRECISE HOTELS
PREFE|PREFERRED HOTELS & RESORTS
PREG|PREMIER GROUP
PREGI|PREGIO HOTELS
PREHO|PREMIER HOTELS AND RESORTS - SOUTH AFRICA
PREIN|
PREM|PREMIUM HOTELS
PREMH|PREMIER HOTELS
PREMI|PREMIER RESORTS
PRESH|"PRESTIGI HOTELS| S.A."
PREST|PRESTIGE HOTELS
PRETU|HOTELES PRETUR
PRFT|PERFECT HOTEL
PRHG|
PRIAP|PRIME APARTMENTS HOTEL & RESORTS
PRIDE|THE PRIDE
PRIHA|PRINCIPAL HAYLEY
PRIHO|PRINCIPAL HOTELS
PRIM|PRIME PLAZA HOTELS & RESORT
PRIMA|PRIMASOL
PRIMH|PRIMA HOTELS
PRIMM|PRIMM VALLEY CASINO REPORTS
PRIMO|PRIMOSTEN-HOTELI D.O.O.
PRINC|PRINCESS HOTELS
PRINH|PRINCE HOTELS LIMITED
PRINS|PRINSOTEL
PRIRE|PRINCE RESORTS HAWAII
PRIVI|PRIVILEGE
PRIX|
PROFI|PROFIL HOTELS
PROM|PROMENADE HOTEL SDN. BHD
PROME|PROMENADE
PROTE|PROTEA HOTELS
PROTU|PROTUR HOTELS
PROVE|PROVENCE
PROXI|PROXIMA HOTELES
PRTIN|PREMIER TRAVEL INN
PUEBO|PUEBLO BONITO RESORTS
PULAI|PULAI SPRINGS BHD.
PUMA|THE HOTEL COLLECTION
PUNN|PUNNPREEDA
PUNTH|PUNT HILL
PURI|PURI SARON HOTEL
PURIC|PURI COLLECTION
PUROH|
PYRAM|PYRAMISA
PZBRA|PLAZA BRASILIA HOTEIS
QAFQA|QAFQAZ HOTELS
QHOTE|Q HOTELS
QUALI|QUALITY HOTELS
QUALT|QUALTON
QUBUS|QUBUS HOTELS
QUEST|QUEST SERVICED APARTMENTS
QUINS|LA QUINTA INNS & SUITES
QUO|QUO HOTELES
R2|R2
RADED|RADISSON EDWARDIAN
RADI|The Radiant
RADIA|RADIANCE GROUP
RADIS|CARLSON REZIDOR HOTEL GROUP
RAFA|RAFAEL HOTELES
RAH|RAH HOTEIS
RAICE|RAICES DEL PLATA
RAINB|RAINBOW TOURISM GROUP
RAINT|THE RAINTREE HOTELS
RAMA|RAMADA JARVIS HOTELS
RAMAB|RAMA HOTELS & RESORT BALI
RAMBL|RAMBLAS HOTELES
RAME|RAMADA ENCORE
RAMEE|RAMEE GROUP OF HOTELS & RESORT
RANDW|RANDWICK LODGES
RANI|RANI HOTELS
RBIHG|RHOMBUS INTL HOTELS GROUP
RCAST|RESIDENCIA CASTELLANO
RCDHO|RCD Hotels
RCG|RCG GROUP
RCHG|ROYAL CLIFF HOTELS GROUP
RDATL|REDE ATLANTICO DE HOTEIS
RDERU|
RDH|ROSEDALE HOTELS
REAL|GRUPO REAL HOTELS
REALR|REAL RESORTS
REBRI|
RECOM|RECOMMENDED HOTELS
REDAT|Rede Atlantica
REDCA|THE RED CARNATION HOTEL COLLECTION
REDEB|REDE BOULEVARD
REDEM|REDE MIRADOR
REDLI|RED LION HOTELS
REDPL|
REDRO|RED ROOF INNS
REDSO|
REEF|THE REEF RESORTS
REG|REGAL HOTELS INTERNATIONAL
REGEN|REGENCY HOTELS & RESORTS
REGET|REGETEL
REGRE|Regent Hotels & Resort
REHOG|RESTEL HOTEL GROUP
REIK|Reikartz Hotels & Resorts
RELAH|AFRICAN HOTEL AND ADVENTURE (AHA)
RELAI|RELAIS & CHATEAUX
RELAX|RELAXIA
RELEX|RELEXA
REMBR|REMBRANDT GROUP
REMIN|REAL DE MINAS
RENDE|RENDEZVOUS HOTELS
RENMD|
RENNI|RENNIE MACKINTOSH GROUP
REP|HOTELREP
REPFI|REDE PORTO FIRME DE HOTEIS
REQUE|ASTON HOTEL AND RESORT
RESAV|RESAVA GROUP
RESID|GRUPO RESIDE
RESO|RESORTS WORLD BHD
RESOT|Resotel Group Hotel & Resort
RESPI|RESPITE HOTELS
RETAJ|Retaj Hotels and Hospitality
REVE|HOTELES REVERON
REVER|REVERE GROUP
REX|REX
REYKJ|REYKJAVIK HOTELS
RFHOT|RF HOTELS
RH|HOTELES RH
RIA|RIA PARK HOTELS
RIAND|RIANDE HOTELS
RICA|RICA HOTELS
RICEH|
RICHA|RICHARDSON HOTELS
RICPH|
RIEMA|GRUPO RIEMA
RIHGA|RIHGA ROYAL HOTEL
RIMON|RIMONIM HOTELES
RINDO|RINGHOTELS + DORMOTELS
RING|RINGHOTEL
RINGH|RINGHOTELS E.V.
RINH|RIN HOTELS
RIO|GRUPO RIO
RISIN|RISING DRAGON GROUP
RITZA|RITZ ANGOLA
RIU|RIU HOTELES
RIVER|RIVERSUN TOURISTIC
RIVHT|RIVIERA HOTEIS
RIXOS|RIXOS HOTELES
ROBER|ROBERTSON HOTEL COMPANY LTD
ROBIN|ROBINSON
ROC|ROC HOTELS
ROCBL|GRUPO ROC BLANC
ROCCO|ROCCO FORTE HOTELS
ROCHE|ROCHESTER
RODH|
ROMAN|Romantik Hotels and Restaurants International
ROOM|ROOM MATE
ROOMZ|
ROPAL|
RORE|ROYAL RESORTS
ROSEN|ROSEN HOTELS & RESORT
ROSEW|ROSEWOOD HTL AND RESORT
ROSIT|Rosita & El Pescador Hotels
ROTAN|ROTANA HOTELS
ROYA|Royal Hotels & Spa Resorts
ROYAL|ROYAL PREMIER HOTELES
ROYHO|ROYAL HOTELS
ROYL|ROYAL GROUP
ROYOR|ROYAL ORCHID HOTELS
RPLAN|Red Planet Hotels
RRHG|RR Hotels Group
RSIDH|RESIDHOTEL
RURAL|Granada Rural
RVER|ROYAL RIVER GROUP
RVHOT|RV Hotels
RVTA|RED DE VILLAS TURISTICAS DE ANDALUCIA
RYDGE|RYDGES HOTELS
S15|SUKHUMVIT 15 PLACE GROUP
SABIN|SABINA HOTELS
SABIR|SABIR HOTEIS
SAFEG|SAFEER GROUP
SAHID|SAHID HOTELS
SAINT|HOTELERA SAINT MICHEL
SAKHG|SAKURA HOTEL GROUP
SALA|SALA RESORTS AND SPAS
SALIL|SALIL HOTELS
SAMBA|SAMBA HOTELS
SAMED|SAMED RESORTS
SANA|SANA HOTEIS
SANDA|SANDALS
SANDM|SANDMAN HOTELS
SANDO|SANDOS HOTELS & RESORTS
SANDS|SAND & SEA RESORTS
SANDT|SANDTON
SANG|SANTIBURI GROUP
SANRE|
SANSI|SANSI
SANTA|SANTA GRAND GROUP
SANTI|SANTIKA INDONESIA HOTELS & RESORTS
SANTO|HOTELES SANTOS
SAPAR|APARTMENTSAPART
SARA|Sara Residences
SARAG|SARAGRUP
SARDI|SARDINIA HOTEL GROUP
SAROA|SAROVA
SAROV|SAROVAR HOTELS AND RESORTS
SATOR|SATORIA GROUP
SAUJA|Saujana Hotels & Resorts
SAVA|SAVA HOTELS & RESORTS
SAVOY|SAVOY GROUP
SBHOT|SB HOTELS
SBOKO|SBOKOS GROUP
SC|SC GROUP
SCAND|SCANDIC HOTELS AB
SCENI|SCENIC HOTEL GROUP
SCOTT|SCOTTISH APARTMENTS
SE|SIAM EASE
SEA|SEE2SEA
SEABE|Seabel
SEAPA|SEASONS APARTMENT HOTEL GROUP
SEARA|HOTEIS SEARA
SEAS|Seashells Hospitality Group
SEASI|SEASIDE HOTELS
SEASO|SEASONS IN AFRICA
SEGAR|SEGARA VILLAGE
SEH|SOCIÉTÉ EUROPÉENNE D'HÔTELLERIE
SEHR|SERENATA HOTELS & RESORTS
SEMAR|SEMARA RESORTS GROUP
SENSI|
SENTI|SENTIDO HOTELS & RESORTS
SERAM|SERAMAR HOTELS
SERCO|SERCOTEL
SEREN|SERENA LODGES & HOTELS
SERHS|HOTELS SERHS
SERRA|SERRANO HOTELS
SERVA|SERVATOUR
SERVI|SERVIGROUP
SERVT|SERVITUR
SETHO|SET HOTELS
SEVIL|SEVILLA
SEYMO|SEYMOUR HOTELS
SFHC|STANFORD HOTELS CORPORATION
SFRAN|
SG|SPRINGFIELD GROUP
SGD|
SGOH|SERENE GROUP OF HOTELS
SH|SH HOTELS
SHAFT|SHAFTESBURY HOTELS
SHALA|
SHANG|SHANGRI - LA
SHANS|SHANSHUI TRENDS HOTELS
SHANT|THE SHANTI COLLECTION
SHERW|SHERWOOD HOTELS
SHIBA|SHIBA PARK HOTEL GROUP
SHIHO|SHI HOTEL GROUP
SHILO|SHILO HOTELS
SHIN|SHINING STAR HOTELS AND RESORTS
SHIND|SHINDOM INN
SHIRE|
SHR|SHR
SHRG|SERENETA HOTEL & RESORTS GROUP
SHSHO|SHS-HOTELS
SHWAG|SHEWE WANA GROUP
SIAMD|SIAM @ SIAM DESIGN GROUP
SIARA|SI- ARANWA
SIBIZ|SIBIZA HOTELS
SIDHO|SIDHOLE
SIDI|HOTELES SIDI
SIDOR|SIDORME
SIGHO|SIGNATURE HOTELS
SILKE|SILKEN
SILVE|SILVER OAKS HOTELS
SINEH|SILVERNEEDLE HOSPITALITY
SINGG|SINGGASANA HOTELS & RESORT
SINO|SINO GROUP OF HOTELS
SIREN|SIRENIS HOTELS
SIRKE|SIRKECI GROUP HOTELS
SIXSE|SIX SENSES
SIXSS|
SIYAM|
SJUAN|SAN JUAN HOTEIS
SKYRE|SKY RESORTS MANAGEMENT
SLAKE|SOUTH LAKE HOTELS
SLAVI|SLAVIERO HOTEIS
SLEEH|SLEEPERZ HOTELS
SLEEP|
SLS|
SM|SM HOTELS
SMALD|SMALL DISTINCTIVE HOTELS
SMALL|SMALL LUXURY HOTELS OF THE WORLD
SMART|SMARTOTEL SA
SMILE|Smile Hotels
SOGOG|
SOHR|Solare Hotel and Resort
SOKHO|SOKOS HOTEL
SOLAR|HOTELES SOLARIS DE MEXICO
SOLEI|RESIDENCE DU SOLEIL
SOLEX|SOL EXPRESS HOTEIS
SOLHO|SOLAR HOTELES
SOLHR|SOLMELIA HRVATSKA D.O.O.
SOLME|MELIA HOTELS INTERNATIONAL
SOLPO|Solares de Portugal
SOLVA|SOLVASA
SOLVE|SOLVERDE GROUP
SOMHO|
SOMRI|SOMRIU HOTELS
SONAE|SONAE TURISMO
SONEL|SONEL ALGARVE
SONES|SONESTA INTERNATIONAL HOTELS CORPORATION
SONEV|SONEVA
SOPAL|SOPA LODGES
SOREL|SORELL GROUP
SOTUR|SOTURIM
SOUQ|SOUQ WAQIF BOUTIQUE HOTELS
SOUSA|SOUSA HOTELS
SPICE|SPICERS GROUP
SPIRE|THE SPIRES SERVICES SUITES
SPLEN|SPLENDID HOTEL GROUP
SPORT|SPORT HOTELS
SPRIN|SPRING HOTELS
SQUIR|
SRHOT|SR HOTELES
SRI|THE SRI HOTELS GROUP
SRIMA|SRIMAL HOTELS
SRS|STEIGENBERGER
SRSWO|SRS-WORLD HOTELS
SRV|SANTRIAN RESORTS & VILLAS
SSHKP|SUBSIDIARY OF SUN HUNG KAI PROPERTIES LTD
STAMF|STAMFORD HOTELS
STAR|STAR HOTELS
STARH|STARWAY HOTELS
STARW|STARWOOD HOTELS
STAT|STATION CASINOS
STAYH|
STAYW|STAY WELL
STE|STELLA CANARIS HOTELS & RESORT
STEEL|SEETEL HOTELS
STELG|STELGROC HOTELES
STHER|SOUTHERN SUN GROUP
STIL|STIL HOTELS
STJAH|St James's Hotels
STOGR|STONE GROUP
STONE|STONEFIELD CASTLE GROUP
STRA|STRATHMORE HOTELS
SUERR|HOTELES SUERRE
SUIHO|SUITE HOSPITALITY
SUITE|PARK & SUITES
SUK|
SUKOS|SUKOSOL
SUMAG|
SUMMA|SUMMA HOTELES
SUMMI|SUMMIT HOTELS & RESORTS
SUN|SUNWAY HOTELS & RESORTS
SUNAN|SUN AND BEACH HOTELS
SUNBD|SUNDBIRD HOTELS AND RESORTS
SUNCA|SUNCANI HVAR HOTELS
SUNCO|SUN CONFORT GROUP
SUNFL|SUNFLOWERS HOTELS
SUNGR|SUN GROUP HOTELS
SUNH|SUNSHINE HOTELS AND RESORTS
SUNHO|Sun hotels and resorts
SUNIH|SUN INN HOTEL
SUNIN|SUN INTERNATIONAL
SUNIS|
SUNOT|SUNOTEL
SUNPL|SUNPLACE HOTELS & RESORTS
SUNRI|SBH
SUNRO|SUNROUTE HOTELS
SUNRS|Sun Resorts
SUNSE|SUNSET RESORT
SUNSW|SUNSWEET HOTELS & RESORTS
SUNTO|SUNTOPIA
SUNWI|HOTELES SUNWING
SUPER|SUPERCLUB HOTELS & RESORTS
SUPHO|SUPERHOTEL
SURAL|SURAL HOTELS
SURGE|SURGEONS LODGE LTD
SURIA|SURIA RESORTS & HOTELS
SURYA|
SUTHR|Sutera Harbour Resort
SUTTO|THE SUTTON PLACE HOTELS
SUW|SUWAN PALM
SWAN|SWAN HOTEIS
SWG|SAWASDEE AND WORABURI GROUP
SWGAR|SWISS-GARDEN INTERNATIONAL HOTELS
SWINT|
SWISB|SWISS BELHOTEL
SWISQ|SWISS QUALITY HOTELS INTERNATIONAL
SWISS|SWISS GROUP
SYMBO|SYMBOL
SYRE|SYRENA HOTELS
TACB|TACB
TAFER|TAFER HOTELS AND RESORTS
TAJ|TAJ HOTELS
TALAS|Talash
TAMAR|TAMARES
TAN|TAN HAI LONG GROUP
TANGE|TANGERINE GROUP HOTEL
TANGO|TANGO GROUP
TAUZI|Tauzia Hotel Management
TAVEL|TRAVELLERCHOICES
TCG|TRADEWINDS CORPORATION GROUP
TCITI|THREE CITIES GROUP
TD|TD HOTELS
TELS|
TEM|TEMMOS
TEMPL|TEMPLE
TEMPO|TEMPORARY APARTMENTS
TERRA|CADENA TERRASOL
TESOR|TESORO
TFLAT|TRANSAMERICA HOSPITALITY GROUP
THALA|Thalassa Hotels
THANH|THANH BINH GROUP
THAV|THAVORN GROUP
THB|THB HOTELS
THE|TOTAL HOTEL EXPERIENCE
THEAD|THE ADDRESS
THEGR|
THEN|THENHOTELS
THEPA|THE PARK HOTELS GROUP
THER|THE HERITAGE HOTELS GROUP
THHOT|TH HOTELS
THINK|THINK APARTMENTS
THIS|GUOMAN & THISTLE (GLH)
THIST|THISTLE HOTELS
THOHO|THON HOTELS
THOMP|THOMPSON HOTELS
THR|THEMA HOTELS & RESORTS
THSN|Tourism & Hospitality Support Network
TIANL|TIANLUN HOTELS
TICO|TICO RESORTS
TIERR|
TIFCO|TIFCO LTD
TIGER|TIGER GROUP
TIME|TIME HOTELS
TINNS|TRAVEL INN
TITAN|TITANIC RESORTS & HOTELS
TIVOL|TIVOLI
TMH|TMH
TOAS|THE OASIS HOTELS & RESORTS
TOGA|TOGA HOSPITALITY
TOKYU|TOKYU HOTELS
TONIC|TONIC HOTEL
TONYG|TONY GROUP
TOP|TOP INTERNATIONAL HOTELS
TOPCI|TOP CITY LINE HOTELS
TOPO|TOPOTEL
TOSAG|TOHSANG GROUP
TOUR|Tourotel HotelbetriebsgmbH
TOWER|TOWER HOTEL GROUP
TOWNH|THE TOWN HOUSE COMPANY
TOYOK|TOYOKO INN
TRANS|TRANSILVANIA TRAVEL
TRAPS|TRAVELERS APARTAMENTOS Y SUITES
TRAVE|Travelodge UK
TREMO|Tremo
TRH|TRH HOTELES
TRIAN|TRIANFLOR
TRIDE|TRIDENT GROUP OF HOTELS
TRIPC|TRIPLE C HOTELS AND RESORTS
TROHT|TROPICAL HOTEIS & RESORTS
TROPI|TROPICAL
TROPN|TROPICANA
TRUMP|
TRVIR|TRAVELODGE IRELAND
TSHG|THE SMALL HOTEL GROUP
TSIMA|TSIMARAS HOTELS
TSOGO|Tsogo Sun
TSOKK|TSOKKOS
TSUEH|TSUE HOTEIS
TTHO|TT HOTELS
TTHOT|TT HOTELES
TUGAS|TUGASA
TUGU|TUGU HOTELS
TUIHT|TUI Hotels and Resorts
TUKAN|El Tukan Hotels & Resort
TUNE|TUNE HOTELS REGIONAL SERVICES SDN BHD
TURIC|TURICOMPLEX
TURIM|TURIM HOTEIS
TURIS|TURISTRELA
TURMU|
TVILL|THE VILLAGROUP
TWARM|The Warm Side
UDA|UDA HOLDINGS
UGEPL|
UGO|UGO HOTEL D.O.O.
UIH|UI HOTELS
UNCOL|Unlisted Collection
UNIC|UNICO GROUP
UNICO|The Unique Collection
UNIHO|Uni Hotéis
UNITA|UNITA TURISM
UNITU|UNITURSA
UNIVE|UNIVERSAL HOTELS
UNIVR|UNIVERSAL RESORTS
URBAN|URBAN RUSTIC HOTELS
URBEM|URBEM
URHCH|URH & Cº HOTELIERS
UTELL|UTELL HOTELS & RESORT
VAC|VACANCES BLEUES
VACEO|VACANCEOLE
VAIL|VAIL RESORTS
VALAM|VALAMAR HOTELS & RESORTS
VALEN|VALENTIN HOTELES
VALMA|VALMANGA
VALUE|VALUE HOSPITALITY HOTELS & RESORTS MANAGEMENT CO.
VANDE|VAN DER VALK
VANHO|Vantaris Hotels
VANIT|VANITY HOTELS
VANTA|VANTAGE HOSPITALITY GROUP
VANTH|VAN THINH PHAT
VCARE|VACATION CARE
VELAD|VELADA HOTELES
VELIC|VELIC HOTELS
VER|VERANDA RESORT AND SPA
VERA|VERA HOTELS
VERSE|VERSER
VERTI|VERTICE
VIAGG|
VIAHR|
VIBAR|VISIT BARCELONA
VICER|VICEROY HOTEL GROUP
VICGA|VICTORIA GARDEN
VICHO|VICTORIA HOTELS & RESORTS
VICHR|VICEROY HOTELS AND RESORTS
VICTO|VICTORIA GROUP
VIDA|
VIDAM|VIDAMAR RESORTS
VIENN|VIENNA GROUP OF HOTELS
VIFON|VILLA FONTAINE
VIHOU|
VIK|VIK HOTELS GROUP
VIKIN|VIKING HOTELS
VILA|VILA GALE HOTEIS
VILH|VILLA HOTELS
VILLH|VILLAGE HOTELS
VILLL|VILLAGE & LIFE
VIME|VIME HOTELES
VINCC|VINCCI HOTELES
VINTE|VIENNA HOUSE
VIP|VIP HOTEIS
VIS|Vis Hoteles
VISAB|VISABEIRA TURISMO
VISOL|VISTA SOL
VITA|VILA VITA HOTELS
VITAH|VITA HOTELIERS
VITOR|Vitor's
VIVA|VIVA  WYNDHAM RESORTS
VIVAH|VIVA HOTELS & RESORTS
VLCFL|
VMARG|VILLA LAS MARGARITAS
VOIHO|VOIHOTELS
VOKEL|
VONDH|VONDEL HOTELS
VOYAG|VOYAGES HOTELS AND RESORTS
VRGRO|VR GROUP HOTELS
WAKA|WAKA GROUP
WALDO|Waldorf Apartment Group
WANDA|WANDA HOTELS
WARWI|WARWICK HOTELS AND RESORTS
WASHI|WASHINGTON HOTELS
WATER|WATERFRONT HOTEL GROUP
WAVE|Blue Wave Inn
WELCO|Welcome Hotels
WESTG|WESTGATE RESORTS
WESTH|WESTCORD HOTELS
WINDH|Windsor Hoteis
WINDS|WINDSOR HOTELS
WING|HOTEL WING INTERNATIONAL GROUP
WINHG|WIN HOTEL GROUP
WINTE|Winter's Hotels
WORLD|WORLD HOTELS
WRHOT|WR HOTELS
WUAU|WUAU
WWOND|WORLD OF WONDERS
WYNDH|WYNDHAM
XCLUS|Xclusive Group of Hotels
XEN|XEN HOTEL AND RESORTS
XPERI|XPERIENCE HOTELS
XWELL|
YADIS|Yadis
YELL|YELLOWSTONE CLUB WORLD
YELLO|YELLOW HOTELS
YMCA|YMCA GUEST ROOMS
YOPAR|YOPARK SERVICED APARTMENT GROUP
YOUTH|SCOTTISH YOUTH HOTELS
YTC|YTC HOTELS
YTL|YTL HOTEL & PROPERTIES
YUTHA|Yuthaporn Development Group
YWCA|YWCA
ZDRO|ZDROJOWA HOTELS
ZENIT|ZENIT
ZERCA|ZERCA HOTELES
ZIIHO|
ZINCL|ZINCLN VISION HOPITALITY
ZLEEP|ZLEEP HOTELS
ZON|THE ZON HOTELS & SUITES
ZT|ZT HOTELS
ZTUDE|Zenitude
ZURI|THE ZURI HOTELS & RESORTS PVT LTD